1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,MAX-SEC,SEC-TRD,TRD-FRT,Label
3971.381931,3097.387677,2890.946595,2746.221386,3011.118809,2647.934889,2989.502747,3381.154601,2866.077719,2929.608973,2928.786669,2319.099417,2475.888347,2923.286541,2918.812832,2658.123567,2958.367114,2897.477322,3114.066951,2795.627908,3185.319159,2999.378825,2971.614744,2561.415077,2558.120426,2919.166544,590.22733,195.835442,71.252208,1
5182.644313,4120.924008,3991.16192,3960.468853,4162.793633,4059.371146,4287.993869,4263.481621,3957.708387,4091.42169,3875.971036,3559.326416,3805.418571,3851.966349,3872.2912,3712.839718,3865.683327,3897.957885,4243.344521,4136.523138,4574.492441,4146.152766,4282.763694,3705.976013,3617.491472,4108.655813,608.151872,286.498572,5.230175,1
6053.489735,5118.902553,4830.374881,4839.487435,5128.746666,4875.289386,5029.530019,5368.897382,5093.038333,4799.951289,4769.656569,4563.593826,4875.778543,4935.42675,5217.165618,4452.410009,4693.933268,4911.173606,4915.947935,4933.622567,5423.469406,5114.264796,4976.391734,4727.413861,4601.216685,4806.702796,630.020329,54.572024,151.731764,1
6838.831955,5590.02437,5199.406975,5147.578771,5645.885592,5215.389835,5444.576192,5975.161328,5155.774262,5188.68195,5277.961124,4950.405022,5190.142325,5275.137311,5343.478537,4881.938447,5119.71173,5309.010401,5564.139944,5378.400562,5661.170416,5510.354304,5404.262515,5189.50533,5093.711013,5227.713139,863.670627,313.990912,15.284824,1
6672.53216,5204.685859,5096.224502,5196.61934,5537.674829,5387.12367,5299.420863,5845.4469,5336.683213,5153.51574,5194.797334,5022.359579,4980.530595,5160.078015,5356.543934,4581.736531,5192.293017,5341.361245,5247.681557,5258.409274,5702.339191,5453.784832,5398.920478,5067.907826,4940.204532,5309.23692,827.08526,143.107709,164.664362,1
5851.940381,5077.913855,4937.733303,4804.284942,5095.777933,4756.713191,5071.160132,5272.719527,5105.496867,4861.964975,4905.215365,4279.690135,4541.643041,4953.768042,4996.5877,4571.585089,4927.375313,5015.378783,5298.5608,4751.517055,4891.755672,4884.134971,5125.01371,4480.927225,4611.140351,4779.934512,553.379581,25.841273,147.705817,1
4732.675523,4362.429087,4361.920617,4333.545812,4241.35785,4364.943856,4550.993374,4418.880561,4238.482121,4350.186494,4210.021542,3948.027151,4124.16712,4510.197765,4337.41227,3897.59567,4186.430554,4233.327412,4447.005791,4214.641591,4387.020527,4510.690443,4513.387888,4220.535152,4047.508364,4293.367423,181.682149,37.605486,2.697445,1
7158.776157,5847.066516,5536.411886,5509.015291,5891.321507,5694.102483,5753.268975,6252.673833,5639.552238,5548.596724,5507.88441,5326.205517,5332.855232,5562.904177,5628.874908,5300.227243,5528.808773,5496.751956,5789.351787,5677.689532,6168.359827,5763.28637,6076.836214,5443.641124,5357.087332,5533.490259,906.102324,84.314006,91.523613,1
5335.313092,4650.371775,4277.354629,4299.101268,4461.398995,4232.834254,4577.293123,4638.225482,4308.145964,4334.403919,4299.704163,3866.503714,4175.999265,4408.536531,4550.092539,4144.473607,4334.834997,4368.927924,4793.653884,4376.290944,4532.443014,4426.616667,4460.375457,4185.693446,4130.180483,4499.399773,541.659208,143.282109,12.146293,1
7047.610299,5623.770928,5386.529233,5450.246149,5642.133565,5536.451612,5755.9277,6209.014068,5577.352636,5440.525371,5400.503527,5070.201184,5329.733265,5450.203906,5628.052124,5098.240661,5440.982217,5356.723548,5791.53996,5444.555888,5962.324176,5759.070201,5846.412267,5248.584716,5189.236487,5455.238547,838.596231,246.689892,115.911909,1
5882.579316,5376.225454,5268.484464,5342.955645,5380.427051,5307.889138,5413.943717,5436.614657,5306.771442,5167.105536,5246.287522,4943.848307,5100.144342,5485.436734,5299.988706,4824.753161,5138.801255,5180.470888,5428.108152,5234.566454,5287.545742,5406.7725,5534.542085,5071.948924,4929.419116,5225.685549,348.037231,49.105351,48.822077,1
5716.708693,5054.105231,4953.755048,4939.194337,4858.098468,4698.675201,5024.582454,5245.544698,4837.098337,4937.342577,4779.035548,4378.202388,4522.434696,4897.217061,4785.672407,4536.627318,4724.207623,4897.964204,5128.77905,4674.573798,5018.865089,5055.701291,5032.29418,4605.912205,4624.576469,4939.902285,471.163995,116.765648,73.077759,1
5018.7465,4329.105123,4311.840148,4275.952045,4346.651963,4503.789735,4564.358584,4428.422663,4418.818664,4242.092794,4234.722477,3949.209012,4092.47678,4313.530474,4277.031583,3961.620598,4072.111015,4223.707742,4451.526624,4202.264378,4548.108425,4510.396634,4590.47884,4018.196406,3997.328382,4277.97632,428.26766,26.120256,16.250159,1
6955.031468,5740.450665,5688.421785,5764.378582,6014.427168,5718.09585,5887.19891,6237.57431,5907.730305,5894.535267,5821.132846,5294.775142,5476.650122,5589.422417,5828.109812,5593.462565,5605.182017,5598.085607,6000.11803,5933.861709,6333.058823,5894.617029,6121.573538,5609.902645,5451.237648,5462.338866,621.972645,95.484513,116.000772,1
6591.10936,5605.791663,5214.500192,5342.680127,5516.219112,5320.647288,5532.719848,6034.997131,5360.610191,5208.629088,5407.421572,5112.429687,4970.311353,5325.012904,5280.792162,4851.262106,5119.042683,5223.551145,5462.299388,5413.060507,5667.642579,5722.630642,5291.377689,5251.999227,5097.034697,5411.507438,556.112229,312.366489,54.988063,1
9856.146278,8273.422084,7890.756015,8044.962197,8629.260093,8073.643824,8391.721713,8950.501604,8167.05148,7946.057978,8282.157404,7898.623604,7851.532088,7942.932457,8189.140071,7941.983769,7896.871262,7953.7277,8330.934209,8269.524763,8512.153969,8349.53197,8213.560793,8028.66707,8083.051287,8184.064588,905.644674,321.241511,117.106124,1
6440.687369,5319.685685,5143.721019,5119.328503,5418.910434,4992.212868,5179.971329,5976.747737,5157.897982,4887.773818,5176.527669,4825.77832,4756.568946,4825.56115,5315.873081,4860.973324,5019.689176,5145.027782,5246.625328,5327.623392,5408.629973,5368.967189,5101.560527,5127.853749,5199.860045,5213.907693,463.939632,557.837303,10.280461,1
6737.30647,5531.48815,5234.464072,5278.418894,5549.013522,5456.859886,5645.543141,5923.347428,5490.971482,5265.62375,5584.426129,4989.620858,5246.006091,5243.73085,5436.587593,5050.063332,5260.598817,5267.794617,5540.905685,5629.368871,6052.877285,5581.592163,5425.367126,5301.555195,5478.147699,5397.707461,684.429185,129.529857,277.804287,1
8525.178285,7017.251812,6888.911367,6785.023344,7286.016561,6686.376109,7078.018529,7784.903889,6912.91861,6666.284395,6813.10781,6655.28742,6640.827311,6719.093695,6944.294281,6388.661251,6698.535123,6828.397734,7225.336128,7118.974866,7364.672357,7148.4681,7183.044514,6697.027381,6802.205206,6904.598152,740.274396,420.231532,78.655796,1
5448.088348,5089.156,5137.596459,5121.31215,4983.370333,4908.488092,5145.254329,4995.913199,4814.934894,4909.297025,4931.7424,4612.501806,4759.882332,5259.486396,4985.514219,4582.241238,4785.574286,4884.493422,4993.186174,4962.444757,5005.311194,5135.174166,5284.429912,4764.615416,4689.374411,4906.854111,163.658436,24.943516,114.232067,1
6997.356508,5859.782548,5426.926879,5630.12004,5939.161835,5565.009147,5808.340634,6335.004565,5736.064605,5558.512104,5690.478396,5415.528053,5416.624951,5375.181611,5594.152269,5336.197521,5451.675874,5489.341376,5745.478173,5907.027595,6003.169841,5677.696304,5628.477221,5388.555239,5575.621766,5769.465456,662.351943,331.834724,64.008006,1
6264.82437,5304.332886,4876.780538,4979.232288,5313.658362,5058.397758,5368.37492,5664.049408,5032.252928,4967.383062,5165.797111,4785.167598,4818.475529,5035.089329,5149.439354,4633.03786,4902.295795,5065.291394,5233.931149,4990.179128,5340.290472,5287.056495,5231.937574,4887.033021,4847.339535,5078.679508,600.774962,295.674488,28.084448,1
6167.646947,4878.8201,5004.479369,4764.175077,5144.189729,4875.542357,5069.96647,5362.800649,4957.232187,4756.873148,4729.844505,4549.180141,4854.841553,4682.422103,4932.464823,4398.340273,4681.091531,4904.653375,4835.875742,4858.851288,5218.362263,5068.284782,4810.767514,4580.782076,4525.12198,4892.366132,804.846298,144.438386,74.172534,1
6060.125158,4810.178853,4348.469524,4317.067685,4703.25779,4404.573455,4620.757096,5275.949731,4462.955613,4368.210003,4507.489785,4042.356268,4306.205373,4545.781174,4400.182682,4096.618803,4191.129754,4438.45259,4705.185637,4566.352616,4767.127318,4645.315099,4543.471797,4295.942558,4368.445229,4455.071871,784.175427,465.770878,43.051535,1
